dataset_id,dataset_group,provider,status,rows,features,classes,missing_values,missing_fraction,duplicate_rows,constant_features,canonical_size_mb,split_strategy,n_groups,n_domains,has_group_artifact,has_domain_artifact,license,download_mode,source_version,sha256
madelon,controlled_real,openml,available,2600,500,2.0,0,0.0,0,0,1.6528,kfold,0,0,False,False,CC BY 4.0,auto,1,71e507957fec3ce06997f18b5566ad32c61f231154aa54e5bd1dd1b1212861de
electricity,controlled_real,openml,available,45312,8,2.0,0,0.0,0,0,0.4003,temporal_block,0,0,False,False,CC BY 4.0,auto,1,c4522727d44eb368d42cc09ab12bfa062a85668a9fa1a0b6f5c4beeeb8b73adb
bank_marketing,controlled_real,openml,available,45211,16,2.0,0,0.0,0,0,0.337,kfold,0,0,False,False,CC BY 4.0,auto,1,e9dd3cb2a693f68aa0a65b4523adad15287504f0b9be2b34685d3d9f5794f21d
aps_failure,controlled_real,openml,available,76000,170,2.0,1078695,0.0835,0,1,33.0892,kfold,0,0,False,False,CC BY 4.0,auto,1,fb8cf24a919232d52eb66c4733e82dca21debd5f7cba8ea6c963b562dcf845d7
whyshift_acs_income_CA,natural_shift,whyshift,available,195665,76,2.0,0,0.0,26443,2,1.5441,natural_domain,0,1,False,True,MIT,auto,0.1.4,0c311f600bba7a5cd2f679f8d7ba7cd422c32b98787d499c7e1a549a6cfbdda9
whyshift_acs_income_TX,natural_shift,whyshift,available,135924,76,2.0,0,0.0,18777,2,1.0644,natural_domain,0,1,False,True,MIT,auto,0.1.4,b7ad79e55507e116843c44cf3d51feafa65b72eab8ce804e35fb274a50d7ec9e
whyshift_acs_income_NY,natural_shift,whyshift,available,103021,76,2.0,0,0.0,10825,2,0.8298,natural_domain,0,1,False,True,MIT,auto,0.1.4,ee4048fb4838ec2af0d2bfd07f25f3e62b71969e33dd784c27b60bb6712e7baa
whyshift_acs_income_FL,natural_shift,whyshift,available,98925,76,2.0,0,0.0,10521,2,0.7791,natural_domain,0,1,False,True,MIT,auto,0.1.4,632eee510cc8f5137c84e94f3a29ceb08bc0de47901adecb18dbcf5673fc982f
whyshift_acs_income_PA,natural_shift,whyshift,available,68308,76,2.0,0,0.0,9386,2,0.5433,natural_domain,0,1,False,True,MIT,auto,0.1.4,f737143106dec7592d82e5eb6e5f67fd74509bbc9abc6d0abb8065b469261ccb
whyshift_acs_pubcov_CA,natural_shift,whyshift,available,138554,42,2.0,0,0.0,29976,0,0.937,natural_domain,0,1,False,True,MIT,auto,0.1.4,1f89417ddd48598d8495553ee059be321beebbb08267a36b2a39c21d4a759c5b
whyshift_acs_pubcov_TX,natural_shift,whyshift,available,98928,42,2.0,0,0.0,19502,0,0.6762,natural_domain,0,1,False,True,MIT,auto,0.1.4,8c1d1d10a6e9c724e7c3022ea94be9308921a5ca1d5e86395cb24bec0089652a
whyshift_acs_pubcov_NY,natural_shift,whyshift,available,67551,42,2.0,0,0.0,11538,0,0.4732,natural_domain,0,1,False,True,MIT,auto,0.1.4,85d9a1bef585530906fb97e34b904031e3ea5aeb8771b8b8a1d227e05ffd26f9
whyshift_acs_pubcov_FL,natural_shift,whyshift,available,71297,42,2.0,0,0.0,10526,0,0.4958,natural_domain,0,1,False,True,MIT,auto,0.1.4,6d2c61f62744423cf94373a461fe685a28b3b0089cfc768842c7cda8a51b2d6f
whyshift_acs_pubcov_PA,natural_shift,whyshift,available,44081,42,2.0,0,0.0,7281,1,0.3058,natural_domain,0,1,False,True,MIT,auto,0.1.4,b7044fd0391a6e4a03d9e3a007eb353c244ae1daabbe77422fe086046d268cdd
whyshift_acs_mobility_CA,natural_shift,whyshift,available,80329,63,2.0,0,0.0,5795,2,0.7338,natural_domain,0,1,False,True,MIT,auto,0.1.4,4b7c50b47283af476407988a3ac66005d3f3d6b5b1ee570174b47dc1f4ce0e35
whyshift_acs_mobility_TX,natural_shift,whyshift,available,53312,63,2.0,0,0.0,3636,2,0.4883,natural_domain,0,1,False,True,MIT,auto,0.1.4,a2f2933f4e0176a97c06a08aa98eada387a664de3b46715f4b6eb35704eee17d
whyshift_acs_mobility_NY,natural_shift,whyshift,available,40463,63,2.0,0,0.0,2882,2,0.3844,natural_domain,0,1,False,True,MIT,auto,0.1.4,2a8bb9550baa374c5e945829c7d1e66bb3cd71613e5af30e986d246d26d9d586
whyshift_acs_mobility_FL,natural_shift,whyshift,available,34491,63,2.0,0,0.0,1940,2,0.3289,natural_domain,0,1,False,True,MIT,auto,0.1.4,627764c3de5b1e352b3a528883d50d937d3adeb87a122167bb3f906d5b58a32d
whyshift_acs_mobility_PA,natural_shift,whyshift,available,23918,63,2.0,0,0.0,1706,4,0.2356,natural_domain,0,1,False,True,MIT,auto,0.1.4,9026ae0ae2ffa9fbf5deedbcf58a5c161756d63bf62f136a926076cd387dabcc
tableshift_hospital_readmission,natural_shift,tableshift,available,99493,46,2.0,177100,0.0387,0,0,1.2697,natural_domain,0,17,False,True,CC BY 4.0,auto,1,8911c82fd000eac9f2450edc56d858a18c78e3d9085e332b65aa560c02e6a14c
s01_balanced_gmm,synthetic,clusterdrift_synthetic,available,10000,10,,0,0.0,0,0,0.9359,kfold,0,0,False,False,Apache-2.0,generated,1.0,7cdbb24ac4df4f5fdebc20edb0687b7d961494d20a83c221165bce227922b716
s02_overlap_gmm,synthetic,clusterdrift_synthetic,available,10000,10,,0,0.0,0,0,0.9359,kfold,0,0,False,False,Apache-2.0,generated,1.0,971fe13cc8c342b137533fcaff32fd52ba0313589b73db2d432c288ae9bf9af9
s03_imbalanced_gmm,synthetic,clusterdrift_synthetic,available,10000,10,,0,0.0,0,0,0.9359,kfold,0,0,False,False,Apache-2.0,generated,1.0,6bf0829c7eac42789cf7fb9074065de4d1a9b04b61a56dfd6042af3f4320f999
s04_heteroscedastic_gmm,synthetic,clusterdrift_synthetic,available,10000,10,,0,0.0,0,0,0.9359,kfold,0,0,False,False,Apache-2.0,generated,1.0,9c577556477c57c0ef8ab9efc166d3d102ad52aa0b6d817dc7fa71f68430b8ce
s05_anisotropic_gmm,synthetic,clusterdrift_synthetic,available,10000,10,,0,0.0,0,0,0.9359,kfold,0,0,False,False,Apache-2.0,generated,1.0,8d5a41f99fabef9f47805ae7e810b532aea09340ff339b14266ec7e0fc192b1e
s06_high_dimensional_gmm,synthetic,clusterdrift_synthetic,available,10000,100,,0,0.0,0,0,9.3542,kfold,0,0,False,False,Apache-2.0,generated,1.0,7e2e93ea50e717f7c509ad940ca73ac44226dd36e2f6c719f36c9f7771b0f167
s07_irrelevant_features_gmm,synthetic,clusterdrift_synthetic,available,10000,100,,0,0.0,0,0,9.3542,kfold,0,0,False,False,Apache-2.0,generated,1.0,65b0df4fd6cf7461950070cf4b1812158c43ec34aa1246547e0228898acc28fc
s08_student_t_mixture,synthetic,clusterdrift_synthetic,available,10000,10,,0,0.0,0,0,0.9359,kfold,0,0,False,False,Apache-2.0,generated,1.0,c1e505e54f980142f0751bcc84c7521bbccd029b51230857714302d300a2ec95
